pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AAAGACA_MIR511,0.123543123543124,0.609065597108735,0.193813302725311,-0.589100029340243,-1.35424029797995,14,ENSG00000136231|ENSG00000108848|ENSG00000035687|ENSG00000092847|ENSG00000112739|ENSG00000145012|ENSG00000120963
AAAGGAT_MIR501,0.473594548551959,0.830872194245278,0.0736212741014394,0.470425862466845,1.00934390023649,12,ENSG00000099940|ENSG00000154174|ENSG00000049449
AAAGGGA_MIR204_MIR211,0.531879194630873,0.850692199406029,0.0670512579829467,0.362279137521162,0.953934582088589,34,ENSG00000092820|ENSG00000197081|ENSG00000178741|ENSG00000138246|ENSG00000070831|ENSG00000099942|ENSG00000084733|ENSG00000187446|ENSG00000119396
AAANWWTGC_UNKNOWN,0.605633802816901,0.880498294161925,0.0630790410571939,0.447823984720166,0.905769617295353,10,ENSG00000163840|ENSG00000084733|ENSG00000089597|ENSG00000166925
AAAYRNCTG_UNKNOWN,0.945762711864407,0.983313814790718,0.0406579344155557,0.257373048104634,0.655972088979921,28,ENSG00000145050|ENSG00000070087|ENSG00000205542|ENSG00000099942|ENSG00000167283|ENSG00000136448|ENSG00000197872|ENSG00000108784|ENSG00000172992
AAAYWAACM_HFH4_01,0.771764705882353,0.931684721158405,0.0653834195468773,-0.333915751342665,-0.783815852658456,15,ENSG00000100603|ENSG00000138413|ENSG00000124160|ENSG00000213639
AACATTC_MIR4093P,0.849056603773585,0.955565207488605,0.0461379160269737,0.326062853249653,0.705616968654067,13,ENSG00000074696
AACTGAC_MIR223,0.555555555555556,0.859618289571204,0.0665892104103933,0.458866623832032,0.956545182214586,11,ENSG00000102753|ENSG00000151835|ENSG00000131711
AACTGGA_MIR145,0.527363184079602,0.85010095911156,0.0880945010398517,-0.367518634578559,-0.957617106290487,26,ENSG00000266028|ENSG00000106993|ENSG00000100442|ENSG00000101189|ENSG00000125398|ENSG00000148730
AACTTT_UNKNOWN,0.885074626865672,0.965288412455334,0.037848772270503,0.245659570488783,0.835487789326288,157,ENSG00000167553|ENSG00000163840|ENSG00000123131|ENSG00000145050|ENSG00000113140|ENSG00000101856|ENSG00000131711|ENSG00000102401|ENSG00000152684|ENSG00000066777|ENSG00000197081|ENSG00000130227|ENSG00000169504|ENSG00000149084|ENSG00000083720|ENSG00000184743|ENSG00000144224|ENSG00000104490|ENSG00000070087|ENSG00000134247|ENSG00000085377|ENSG00000173020|ENSG00000107566|ENSG00000145391|ENSG00000110917|ENSG00000082898|ENSG00000175931|ENSG00000183291|ENSG00000136448|ENSG00000187446|ENSG00000167323|ENSG00000182287|ENSG00000133104|ENSG00000197872|ENSG00000106211|ENSG00000011454
AACWWCAANK_UNKNOWN,0.524822695035461,0.850025537843625,0.0855356947987884,-0.387692458280157,-0.941171370033089,18,ENSG00000136231
