First Uniprot ID,First gene symbol,Trimmed first Uniprot ID,Trimmed first gene symbol,Protein,0_0 vs 12_0 log2FC,0_0 vs 12_0 adj.pvalue,0_0 vs 0_100 log2FC,0_0 vs 0_100 adj.pvalue,0_0 vs 12_100 log2FC,0_0 vs 12_100 adj.pvalue,Invasive vs Proliferative 0_0 log2FC,Invasive vs Proliferative 0_0 adj.pvalue,Invasive vs Proliferative 12_0 log2FC,Invasive vs Proliferative 12_0 adj.pvalue,Invasive vs Proliferative 0_100 log2FC,Invasive vs Proliferative 0_100 adj.pvalue,Invasive vs Proliferative 12_100 log2FC,Invasive vs Proliferative 12_100 adj.pvalue
A0A024RBG1,NUDT4B,A0A024RBG1,NUDT4B,A0A024RBG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6H7,IGKV3-7,A0A075B6H7,IGKV3-7,A0A075B6H7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6H8,IGKV1D-42,A0A075B6H8,IGKV1D-42,A0A075B6H8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6H9,IGLV4-69,A0A075B6H9,IGLV4-69,A0A075B6H9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I0,IGLV8-61,A0A075B6I0,IGLV8-61,A0A075B6I0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I1,IGLV4-60,A0A075B6I1,IGLV4-60,A0A075B6I1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I3,IGLV11-55,A0A075B6I3,IGLV11-55,A0A075B6I3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I4,IGLV10-54,A0A075B6I4,IGLV10-54,A0A075B6I4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I6,IGLV1-50,A0A075B6I6,IGLV1-50,A0A075B6I6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I7,IGLV5-48,A0A075B6I7,IGLV5-48,A0A075B6I7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6I9,IGLV7-46,A0A075B6I9,IGLV7-46,A0A075B6I9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6J1,IGLV5-37,A0A075B6J1,IGLV5-37,A0A075B6J1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6J2,IGLV2-33,A0A075B6J2,IGLV2-33,A0A075B6J2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6J6,IGLV3-22,A0A075B6J6,IGLV3-22,A0A075B6J6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6J9,IGLV2-18,A0A075B6J9,IGLV2-18,A0A075B6J9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K0,IGLV3-16,A0A075B6K0,IGLV3-16,A0A075B6K0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K2,IGLV3-12,A0A075B6K2,IGLV3-12,A0A075B6K2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K4,IGLV3-10,A0A075B6K4,IGLV3-10,A0A075B6K4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K5,IGLV3-9,A0A075B6K5,IGLV3-9,A0A075B6K5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6K6,IGLV4-3,A0A075B6K6,IGLV4-3,A0A075B6K6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6L2,TRGV11,A0A075B6L2,TRGV11,A0A075B6L2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6L6,TRBV7-3,A0A075B6L6,TRBV7-3,A0A075B6L6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6N1,TRBV19,A0A075B6N1,TRBV19,A0A075B6N1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6N2,TRBV20-1,A0A075B6N2,TRBV20-1,A0A075B6N2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6N3,TRBV24-1,A0A075B6N3,TRBV24-1,A0A075B6N3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6N4,TRBV25-1,A0A075B6N4,TRBV25-1,A0A075B6N4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6P5,IGKV2-28,A0A075B6P5,IGKV2-28,A0A075B6P5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6Q5,IGHV3-64,A0A075B6Q5,IGHV3-64,A0A075B6Q5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6R0,TRGV2,A0A075B6R0,TRGV2,A0A075B6R0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6R2,IGHV4-4,A0A075B6R2,IGHV4-4,A0A075B6R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6R9,IGKV2D-24,A0A075B6R9,IGKV2D-24,A0A075B6R9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S0,TRGJ1,A0A075B6S0,TRGJ1,A0A075B6S0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S2,IGKV2D-29,A0A075B6S2,IGKV2D-29,A0A075B6S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S4,IGKV1D-17,A0A075B6S4,IGKV1D-17,A0A075B6S4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S5,IGKV1-27,A0A075B6S5,IGKV1-27,A0A075B6S5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S6,IGKV2D-30,A0A075B6S6,IGKV2D-30,A0A075B6S6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S9,IGKV1-37,A0A075B6S9,IGKV1-37,A0A075B6S9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6T6,TRAV12-2,A0A075B6T6,TRAV12-2,A0A075B6T6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6T7,TRAV6,A0A075B6T7,TRAV6,A0A075B6T7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6T8,TRAV9-1,A0A075B6T8,TRAV9-1,A0A075B6T8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6U4,TRAV7,A0A075B6U4,TRAV7,A0A075B6U4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6V5,TRAV36DV7,A0A075B6V5,TRAV36DV7,A0A075B6V5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6W5,TRAV23DV6,A0A075B6W5,TRAV23DV6,A0A075B6W5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6X5,TRAV18,A0A075B6X5,TRAV18,A0A075B6X5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6Y3,TRAJ3,A0A075B6Y3,TRAJ3,A0A075B6Y3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6Y9,TRAJ42,A0A075B6Y9,TRAJ42,A0A075B6Y9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B700,TRAJ31,A0A075B700,TRAJ31,A0A075B700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B706,TRDJ1,A0A075B706,TRDJ1,A0A075B706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B759,PPIAL4E,A0A075B759,PPIAL4E,A0A075B759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B767,PPIAL4H,A0A075B767,PPIAL4H,A0A075B767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSX0,IGLV5-45,A0A087WSX0,IGLV5-45,A0A087WSX0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSY4,IGHV4-30-2,A0A087WSY4,IGHV4-30-2,A0A087WSY4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSY6,IGKV3D-15,A0A087WSY6,IGKV3D-15,A0A087WSY6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSZ0,IGKV1D-8,A0A087WSZ0,IGKV1D-8,A0A087WSZ0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WSZ9,TRAV30,A0A087WSZ9,TRAV30,A0A087WSZ9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WT01,TRAV27,A0A087WT01,TRAV27,A0A087WT01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WT02,TRAV9-2,A0A087WT02,TRAV9-2,A0A087WT02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WT03,TRAV26-1,A0A087WT03,TRAV26-1,A0A087WT03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WTH1,TMEM265,A0A087WTH1,TMEM265,A0A087WTH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WTH5,NA,A0A087WTH5,NA,A0A087WTH5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WUL8,NBPF19,A0A087WUL8,NBPF19,A0A087WUL8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WV53,SPEGNB,A0A087WV53,SPEGNB,A0A087WV53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WV62,TRBV16,A0A087WV62,TRBV16,A0A087WV62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WVF3,TBC1D3D,A0A087WVF3,TBC1D3D,A0A087WVF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WW87,IGKV2-40,A0A087WW87,IGKV2-40,A0A087WW87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WWA1,P3R3URF,A0A087WWA1,P3R3URF,A0A087WWA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
