Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,Dif
A0A0J9YWL9,control vs IR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0J9YWL9,control vs TMZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0J9YWL9,control vs IR + TMZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0J9YWL9,control vs treated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0J9YWL9,adjuvant therapy vs singular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRA0,control vs IR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRA0,control vs TMZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRA0,control vs IR + TMZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRA0,control vs treated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRA0,adjuvant therapy vs singular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRE5,control vs IR,0.315793716,0.556775884,0.56718282,2,0.627762298,0.94115575,NA,0.9609375,0.0234375,Not significant
A0A0U1RRE5,control vs TMZ,-0.956649081,0.454605605,-2.104349507,2,0.17001499,0.998967835,NA,0.96875,0.015625,Not significant
A0A0U1RRE5,control vs IR + TMZ,0.11392715,0.454605605,0.250606566,2,0.82551283,0.966977496,NA,0.9609375,0.0234375,Not significant
A0A0U1RRE5,control vs treated,-0.175642738,0.386340475,-0.454631989,2,0.693952171,0.946429415,NA,0.96875,0.0234375,Not significant
A0A0U1RRE5,adjuvant therapy vs singular,-0.434354833,0.425244605,-1.021423499,2,0.414491726,0.970003374,NA,0.973958333,0.026041667,Not significant
A0A0U1RRL7,control vs IR,0.02881411,0.108089106,0.266577372,38,0.791235865,0.965054044,NA,0.96875,0.129464286,Not significant
A0A0U1RRL7,control vs TMZ,0.039900177,0.12688607,0.314456721,38,0.75489426,0.998967835,NA,0.952008929,0.172991071,Not significant
A0A0U1RRL7,control vs IR + TMZ,0.075978255,0.113387954,0.670073432,38,0.506862836,0.883144995,NA,0.962053571,0.162946429,Not significant
A0A0U1RRL7,control vs treated,0.048230848,0.092438392,0.521762079,38,0.604864139,0.927497973,NA,0.962611607,0.153459821,Not significant
A0A0U1RRL7,adjuvant therapy vs singular,-0.041621112,0.099660222,-0.417630132,38,0.678567966,0.993256666,NA,0.964285714,0.151785714,Not significant
A0A1B0GV03,control vs IR,-1.067375071,NA,NA,0,NA,NA,NA,0.9921875,0,NA
A0A1B0GV03,control vs TMZ,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.984375,0,Upregulated
A0A1B0GV03,control vs IR + TMZ,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9921875,0,Upregulated
A0A1B0GV03,control vs treated,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9921875,0,Upregulated
A0A1B0GV03,adjuvant therapy vs singular,NA,NA,NA,NA,NA,NA,completeMissing,0.994791667,0,NA
A0A1B0GVN3,control vs IR,2.977107659,1.776458005,1.675867176,2,0.235753613,0.796127467,NA,0.979166667,0.020833333,Not significant
A0A1B0GVN3,control vs TMZ,2.131199098,1.450471887,1.469314309,2,0.279512789,0.998967835,NA,0.989583333,0.010416667,Not significant
A0A1B0GVN3,control vs IR + TMZ,2.760540631,1.450471887,1.903201748,2,0.197338236,0.702515994,NA,0.979166667,0.020833333,Not significant
A0A1B0GVN3,control vs treated,2.622949127,1.367518008,1.91803626,2,0.195129308,0.768352681,NA,0.979166667,0.020833333,Not significant
A0A1B0GVN3,adjuvant therapy vs singular,-0.206387252,1.025638507,-0.201228065,2,0.859129186,0.993317391,NA,0.975694444,0.024305556,Not significant
A0A1W2PPF3,control vs IR,0.087189888,0.216776529,0.402210925,10,0.695991429,0.956145492,NA,0.911458333,0.078125,Not significant
A0A1W2PPF3,control vs TMZ,0.324581956,0.18657153,1.739718571,10,0.112535758,0.998967835,NA,0.932291667,0.057291667,Not significant
A0A1W2PPF3,control vs IR + TMZ,0.321862091,0.216776529,1.484764484,10,0.168430734,0.670806478,NA,0.932291667,0.057291667,Not significant
A0A1W2PPF3,control vs treated,0.244544645,0.165419743,1.478328047,10,0.170112444,0.738475316,NA,0.9296875,0.065104167,Not significant
A0A1W2PPF3,adjuvant therapy vs singular,-0.115976169,0.195121177,-0.594380225,10,0.565461934,0.98752772,NA,0.934027778,0.065972222,Not significant
A0A1W2PR19,control vs IR,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.984375,0,Upregulated
A0A1W2PR19,control vs TMZ,0.605239515,NA,NA,0,NA,NA,NA,0.9921875,0,Not significant
A0A1W2PR19,control vs IR + TMZ,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9921875,0,Upregulated
A0A1W2PR19,control vs treated,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9921875,0,Upregulated
A0A1W2PR19,adjuvant therapy vs singular,NA,NA,NA,NA,NA,NA,completeMissing,0.994791667,0,NA
A0A1W2PR48,control vs IR,0.185132248,0.574257789,0.322385262,0,NA,NA,NA,0.96875,0,Not significant
A0A1W2PR48,control vs TMZ,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9375,0,Upregulated
A0A1W2PR48,control vs IR + TMZ,1.259175697,0.593665094,2.121020268,0,NA,NA,NA,0.9375,0,NA
A0A1W2PR48,control vs treated,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.953125,0,Upregulated
A0A1W2PR48,adjuvant therapy vs singular,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.958333333,0,Upregulated
A0AVI2,control vs IR,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,1,0,Downregulated
A0AVI2,control vs TMZ,NA,NA,NA,NA,NA,NA,completeMissing,0.997395833,0,NA
A0AVI2,control vs IR + TMZ,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,0.997395833,0,Downregulated
A0AVI2,control vs treated,NA,NA,NA,NA,NA,NA,completeMissing,0.997395833,0,NA
A0AVI2,adjuvant therapy vs singular,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.996527778,0,Upregulated
A0AVT1,control vs IR,0.003247818,0.156842527,0.020707509,29,0.983620802,0.996695658,NA,0.8046875,0,Not significant
A0AVT1,control vs TMZ,-0.201726581,0.165268506,-1.220599046,29,0.232070086,0.998967835,NA,0.765625,0,Not significant
A0AVT1,control vs IR + TMZ,-0.067935007,0.15937457,-0.426260016,29,0.673065826,0.933450518,NA,0.7734375,0,Not significant
A0AVT1,control vs treated,-0.08880459,0.130218175,-0.681967701,29,0.500670297,0.915780547,NA,0.7890625,0,Not significant
A0AVT1,adjuvant therapy vs singular,-0.031304375,0.139836353,-0.223864353,29,0.824432488,0.993317391,NA,0.796875,0,Not significant
A0JNW5,control vs IR,NA,NA,NA,NA,NA,NA,completeMissing,0.994791667,0,NA
A0JNW5,control vs TMZ,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,1,0,Downregulated
A0JNW5,control vs IR + TMZ,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,0.994791667,0,Downregulated
A0JNW5,control vs treated,NA,NA,NA,NA,NA,NA,completeMissing,0.994791667,0,NA
A0JNW5,adjuvant therapy vs singular,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.993055556,0,Upregulated
A0ZSE6,control vs IR,NA,NA,NA,NA,NA,NA,completeMissing,0.984375,0,NA
A0ZSE6,control vs TMZ,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,1,0,Downregulated
A0ZSE6,control vs IR + TMZ,#NAME?,NA,NA,NA,NA,0,oneConditionMissing,0.984375,0,Downregulated
A0ZSE6,control vs treated,NA,NA,NA,NA,NA,NA,completeMissing,0.984375,0,NA
A0ZSE6,adjuvant therapy vs singular,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.979166667,0,Upregulated
A1A4S6,control vs IR,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.973958333,0.036458333,Upregulated
A1A4S6,control vs TMZ,0.299387238,0.212012514,1.412120597,1,0.392271132,0.998967835,NA,0.984375,0.015625,Not significant
